Name,BSE Code,NSE Code,ISIN Code
Ravindra Energy,504341,RELTD,INE206N01018
Nitco,532722,NITCO,INE858F01012
Guj Inds. Power,517300,GIPCL,INE162A01010
Apollo Pipes,531761,APOLLOPIPE,INE126J01016
HPL Electric,540136,HPL,INE495S01016
Protean eGov,544021,PROTEAN,INE004A01022
Insecticid.India,532851,INSECTICID,INE070I01018
Hind.Oil Explor.,500186,HINDOILEXP,INE345A01011
Aimtron,,AIMTRON,INE0RUV01018
Rhetan TMT Ltd,543590,RHETAN,INE0KKN01029
Yasho Industries,541167,YASHO,INE616Z01012
Honda India,522064,HONDAPOWER,INE634A01018
Network People,544396,NPST,INE0FFK01017
Jain Irrigation,500219,JISLJALEQS,INE175A01038
Shipping Land,544142,SCILAL,INE0PB301013
DCX Systems,543650,DCXINDIA,INE0KL801015
HLE Glascoat,522215,HLEGLAS,INE461D01028
Yash Highvoltage,544310,,INE00GK01023
M M Forgings,522241,MMFL,INE227C01017
Confidence Petro,526829,CONFIPET,INE552D01024
Venky's (India),523261,VENKEYS,INE398A01010
Arkade,544261,ARKADE,INE0QRL01017
Rane Holdings,505800,RANEHOLDIN,INE384A01010
Cosmo First,508814,COSMOFIRST,INE757A01017
Kalyani Invest.,533302,KICL,INE029L01018
Solara Active,541540,SOLARA,INE624Z01016
Mukand,500460,MUKANDLTD,INE304A01026
Geojit Fin. Ser.,532285,GEOJITFSL,INE007B01023
Sai Parenteral's,544742,SAIPARENT,INE0H9F01037
K C P,590066,KCP,INE805C01028
Nucleus Soft.,531209,NUCLEUS,INE096B01018
Pix Transmission,500333,PIXTRANS,INE751B01018
Rajratan Global,517522,RAJRATAN,INE451D01029
KP Green Engg.,544150,,INE0QVH01025
Jaykay Enter.,500306,JAYKAY,INE903A01025
Advait Energy,543230,ADVAIT,INE0ALI01010
Kwality Pharma,539997,KPL,INE552U01010
G M Breweries,507488,GMBREW,INE075D01018
Mufin Green,542774,MUFIN,INE08KJ01020
Divgi Torq,543812,DIVGIITTS,INE753U01022
Somany Ceramics,531548,SOMANYCERA,INE355A01028
Pennar Industrie,513228,PENIND,INE932A01024
Servotech Renew,,SERVOTECH,INE782X01033
Spandana Sphoort,542759,SPANDANA,INE572J01011
Talbros Auto.,505160,TALBROAUTO,INE187D01029
D.P. Abhushan,544161,DPABHUSHAN,INE266Y01019
Rishabh Instrum.,543977,RISHABH,INE0N2P01017
Sanstar,544217,SANSTAR,INE08NE01025
Vimta Labs,524394,VIMTALABS,INE579C01029
HMT,500191,HMT,INE262A01018
GSP Crop Science,544733,GSPCROP,INE713R01022
Bajel Projects,544042,BAJEL,INE0KQN01018
EIH Assoc.Hotels,523127,EIHAHOTELS,INE276C01014
Amic Forging,544037,,INE0P9J01013
Shringar House,544512,SHRINGARMS,INE1B3L01017
JNK,544167,JNKINDIA,INE0OAF01028
Indoco Remedies,532612,INDOCO,INE873D01024
BF Utilities,532430,BFUTILITIE,INE243D01012
TCI Express,540212,TCIEXP,INE586V01016
Jai Corp,512237,JAICORPLTD,INE070D01027
S P Apparels,540048,SPAL,INE212I01016
Ujaas Energy,533644,UEL,INE899L01030
Dynacons Sys.,532365,DSSL,INE417B01040
Belding India,513307,,INE363L01045
Vindhya Telelink,517015,VINDHYATEL,INE707A01012
SpiceJet,500285,SPICEJET,INE285B01017
TajGVK Hotels,532390,TAJGVK,INE586B01026
Frontier Springs,522195,FRONTSP,INE572D01014
BGR Energy Sys.,532930,BGRENERGY,INE661I01014
Brightcom Group,532368,BCG,INE425B01027
PTC India Fin,533344,PFS,INE560K01014
Saksoft,590051,SAKSOFT,INE667G01023
Ceinsys Tech,538734,CEINSYS,INE016Q01014
EPack PrefabTech,544540,EPACKPEB,INE0MLS01022
Vintage Coffee,538920,VINCOFE,INE498Q01014
Stallion India,544342,STALLION,INE0RYC01010
Tasty Bite Eat.,519091,TASTYBITE,INE488B01017
Jindal Drilling,511034,JINDRILL,INE742C01031
NDR Auto Compon.,543214,NDRAUTO,INE07OG01012
La Opala RG,526947,LAOPALA,INE059D01020
Capacit'e Infra.,540710,CAPACITE,INE264T01014
Vidya Wires,544633,VIDYAWIRES,INE14UN01029
Sika Interplant,523606,SIKA,INE438E01032
Nilkamal Ltd,523385,NILKAMAL,INE310A01015
India Pesticides,543311,IPL,INE0D6701023
Hinduja Global,532859,HGS,INE170I01016
Filatex India,526227,FILATEX,INE816B01035
Silver Touch,543525,SILVERTUC,INE625X01026
Delta Corp,532848,DELTACORP,INE124G01033
Mobavenue AI Tech,539682,,INE622Q01019
Cantabil Retail,533267,CANTABIL,INE068L01024
Panama Petrochem,524820,PANAMAPET,INE305C01029
Asian Granito,532888,ASIANTILES,INE022I01019
Krsnaa Diagnost.,543328,KRSNAA,INE08LI01020
Hindware Home In,542905,HINDWAREAP,INE05AN01011
Ador Welding,517041,ADOR,INE045A01017
M T N L,500108,MTNL,INE153A01019
BLS E-Services,544107,BLSE,INE0NLT01010
Thejo Engg.,,THEJO,INE121N01019
Anondita Medi.,,ANONDITA,INE0VTV01012
Hathway Cable,533162,HATHWAY,INE982F01036
Shalby,540797,SHALBY,INE597J01018
Sportking India,539221,SPORTKING,INE885H01029
Stove Kraft,543260,STOVEKRAFT,INE00IN01015
Arman Financial,531179,ARMANFIN,INE109C01017
India Nipp.Elec.,532240,INDNIPPON,INE092B01025
Som Distilleries,507514,SDBL,INE480C01038
EMS,543983,EMSLIMITED,INE0OV601013
Kothari Indl,509732,KOTIC,INE972A01020
Aayush Art,540718,,INE777X01017
Vikran Engg.,544496,VIKRAN,INE01R501028
Solarworld Ene.,544532,SOLARWORLD,INE0TY101024
Krishna Defence,,KRISHNADEF,INE0J5601015
Disa India,500068,DISAQ,INE131C01011
Modern Insulator,515008,,INE219W01012
S H Kelkar & Co.,539450,SHK,INE500L01026
Studds Accessor.,544599,STUDDS,INE00Q601028
Hi-Tech Pipes,543411,HITECH,INE106T01025
Titan Biotech,524717,,INE150C01029
Suryoday Small,543279,SURYODAY,INE428Q01011
TIL,505196,TIL,INE806C01018
SPML Infra,500402,SPMLINFRA,INE937A01023
Oriental Hotels,500314,ORIENTHOT,INE750A01020
M & B Engineer.,544470,MBEL,INE08N601015
Indokem,504092,,INE716F01012
TCC Concept,512038,TCC,INE887D01016
Goodyear India,500168,GOODYEAR,INE533A01012
Sakar Healthcare,,SAKAR,INE732S01012
GHV Infra,505504,,INE809Q01020
Ashika Credit,543766,ASHIKA,INE094B01013
GTL Infra.,532775,GTLINFRA,INE221H01019
Accelya Solution,532268,ACCELYA,INE793A01012
Dolphin Offshore,522261,DOLPHIN,INE920A01037
Paramount Comm.,530555,PARACABLES,INE074B01023
NIBE,535136,NIBE,INE149O01018
D-Link India,533146,DLINKINDIA,INE250K01012
Astec Lifescienc,533138,ASTEC,INE563J01010
Balmer Law. Inv.,532485,BLIL,INE525F01025
Algoquant Fin,505725,ALGOQUANT,INE598D01035
Indian Hume Pipe,504741,INDIANHUME,INE323C01030
Summit Securitie,533306,SUMMITSEC,INE519C01017
Media Matrix,512267,MMWL,INE200D01020
SBC Exports,542725,SBC,INE04AK01028
Simplex Infra,523838,SIMPLEXINF,INE059B01024
Amrutanjan Healt,590006,AMRUTANJAN,INE098F01031
Assoc.Alcohols,507526,ASALCBR,INE073G01016
Exicom Tele-Sys.,544133,EXICOM,INE777F01014
CFF Fluid,543920,,INE0NJ001013
Meghna Infracon,538668,,INE898Q01015
Godavari Bioref.,544279,GODAVARIB,INE497S01012
Walchan. Inds.,507410,WALCHANNAG,INE711A01022
Indosolar,533257,WAAREEINDO,INE866K01023
Windlas Biotech,543329,WINDLAS,INE0H5O01029
One Point One,544748,ONEPOINT,INE840Y01029
Danish Power,,DANISH,INE0YU901016
Garuda Cons,544271,GARUDA,INE0JVO01026
Sumeet Industrie,514211,SUMEETINDS,INE235C01036
GNA Axles,540124,GNA,INE934S01014
Sai Silks,543989,KALAMANDIR,INE438K01021
One Mobikwik,544305,MOBIKWIK,INE0HLU01028
Gandhar Oil Ref.,544029,GANDHAR,INE717W01049
KMC Speciality,524520,,INE879K01018
Suraksha Diagno.,544293,SURAKSHA,INE877V01027
Asian Energy,530355,ASIANENE,INE276G01015
All Time Plastic,544479,ALLTIME,INE0GV601021
Rico Auto Inds,520008,RICOAUTO,INE209B01025
Hester Bios,524669,HESTERBIO,INE782E01017
Khazanchi Jewell,543953,,INE0OWC01011
Ugro Capital,511742,UGROCAP,INE583D01011
J.G.Chemicals,544138,JGCHEM,INE0MB501011
Pashupati Cotsp.,544448,PASHUPATI,INE124Y01028
Shanti Gold,544459,SHANTIGOLD,INE06ZD01017
NELCO,504112,NELCO,INE045B01015
Landmark Cars,543714,LANDMARK,INE559R01029
BF Investment,533303,BFINVEST,INE878K01010
Rajesh Power,544291,,INE0VN801010
Arfin India,539151,ARFIN,INE784R01023
Dollar Industrie,541403,DOLLAR,INE325C01035
Bharat Wire,539799,BHARATWIRE,INE316L01019
MIRC Electronics,500279,MIRCELECTR,INE831A01028
Seshasayee Paper,502450,SESHAPAPER,INE630A01024
RACL Geartech,520073,RACLGEAR,INE704B01017
GPT Infraproject,533761,GPTINFRA,INE390G01014
InfoBeans Tech.,543644,INFOBEAN,INE344S01016
Ramco Systems,532370,RAMCOSYS,INE246B01019
Yatra Online,543992,YATRA,INE0JR601024
Jagran Prakashan,532705,JAGRAN,INE199G01027
Jyoti Structures,513250,JYOTISTRUC,INE197A01024
Signpost India,544117,SIGNPOST,INE0KGZ01021
GOCL Corpn.,506480,GOCLCORP,INE077F01035
Magellanic Cloud,538891,MCLOUD,INE613C01026
Solex Energy,,SOLEX,INE880Y01017
5paisa Capital,540776,5PAISA,INE618L01018
Aqylon Nexus,530943,AQYLON,INE416A01051
Grand Oak Canyon,523862,GRANDOAK,INE926B01016
S P I C,590030,SPIC,INE147A01011
Vidhi Specialty,531717,VIDHIING,INE632C01026
ESAF Small Fin,544020,ESAFSFB,INE818W01011
Neueon Corporation,532887,NEUEON,INE333I01044
Navkar Corporat.,539332,NAVKARCORP,INE278M01019
Expleo Solutions,533121,EXPLEOSOL,INE201K01015
NGL Fine Chem,524774,NGLFINE,INE887E01022
Wonder Electric.,543449,WEL,INE02WG01024
Dynamic Cables,540795,DYCL,INE600Y01019
Lincoln Pharma.,531633,LINCOLN,INE405C01035
Blue Cloud Soft.,539607,,INE373T01047
Precision Camshf,539636,PRECAM,INE484I01029
Go Fashion (I),543401,GOCOLORS,INE0BJS01011
Shriram Properti,543419,SHRIRAMPPS,INE217L01019
RIR Power Electr,517035,,INE302D01024
Citurgia Biochem,506373,,INE795B01031
LKP Finance,507912,,INE724A01017
Blue Pearl Agri,514440,,INE439N01031
SEPC,532945,SEPC,INE964H01014
Atul Auto,531795,ATULAUTO,INE951D01028
Wendt India,505412,WENDT,INE274C01019
Omaxe,532880,OMAXE,INE800H01010
DCW,500117,DCW,INE500A01029
Avishkar Infra,508929,,INE433O01024
Tinna Rubber,530475,TINNARUBR,INE015C01016
Dolat Algotech,505526,DOLATALGO,INE966A01022
A C J K Exports,544743,AMIRCHAND,INE05TO01019
Sula Vineyards,543711,SULA,INE142Q01026
Apex Frozen Food,540692,APEX,INE346W01013
Venus Remedies,526953,VENUSREM,INE411B01019
Shukra Pharma.,524632,,INE551C01044
Valiant Commun.,526775,,INE760B01019
Ivalue Infosolut,544523,IVALUE,INE056801025
Antony Waste han,543254,AWHCL,INE01BK01022
Jagsonpal Pharma,507789,JAGSNPHARM,INE048B01035
Syncom Formul.,524470,SYNCOMF,INE312C01025
AYM Syntex,508933,AYMSYNTEX,INE193B01039
I G Petrochems,500199,IGPL,INE204A01010
SMC Global Sec.,543263,SMCGLOBAL,INE103C01036
PNB Gilts,532366,PNBGILTS,INE859A01011
Haryana Fin. Co.,530927,,INE737G01016
Dhanlaxmi Bank,532180,DHANBANK,INE680A01011
Orient Green,533263,GREENPOWER,INE999K01014
United Foodbrands,543283,UFBL,INE382M01027
Mahamaya Steel,513554,MAHASTEEL,INE451L01014
Benares Hotels,509438,,INE664D01019
Steel Exchange,534748,STEELXIND,INE503B01021
Allcargo Logist.,532749,ALLCARGO,INE418H01029
Fredun Pharma,539730,,INE194R01017
Digitide Solutio,544413,DIGITIDE,INE0U4701011
Everest Kanto,532684,EKC,INE184H01027
India Motor Part,590065,IMPAL,INE547E01014
Chamanlal Setia,530307,CLSEL,INE419D01026
Divine Power,,DPEL,INE0SCO01019
TTK Healthcare,507747,TTKHLTCARE,INE910C01018
Hypersoft Tech.,539724,,INE039D01014
Meghmani Organi.,543331,MOL,INE0CT101020
Aurum Proptech,539289,AURUM,INE898S01029
Capital Small,544120,CAPITALSFB,INE646H01017
Asian Hotels (N),500023,ASIANHOTNR,INE363A01022
Andhra Paper,502330,ANDHRAPAP,INE435A01051
Punjab Chemicals,506618,PUNJABCHEM,INE277B01014
Igarashi Motors,517380,IGARASHI,INE188B01013
Alldigi Tech,532633,ALLDIGI,INE835G01018
Monolithisch Ind,,MONOLITH,INE1DV401010
Platinum Industr,544134,PLATIND,INE0PT501018
Hardwyn India,541276,HARDWYN,INE626Z01029
Texmaco Infrast.,505400,TEXINFRA,INE435C01024
Diffusion Eng,544264,DIFFNKG,INE184O01015
Guj.Nat.Resour.,513536,GNRL,INE207H01018
Huhtamaki India,509820,HUHTAMAKI,INE275B01026
Kross Ltd,544253,KROSS,INE0O6601022
Safe Enterprises,,SAFEENTP,INE17D601016
Orient Tech.,544235,ORIENTTECH,INE0PPK01015
B.L.Kashyap,532719,BLKASHYAP,INE350H01032
Ratnaveer Precis,543978,RATNAVEER,INE05CZ01011
BMW Industries,542669,,INE374E01021
Andhra Sugars,590062,ANDHRSUGAR,INE715B01021
Ultramarine Pig.,506685,ULTRAMAR,INE405A01021
Excel Industries,500650,EXCELINDUS,INE369A01029
Vinyas Innovativ,,VINYAS,INE0OLS01010
Den Networks,533137,DEN,INE947J01015
Salasar Techno,540642,SALASAR,INE170V01027
Butterfly Gan Ap,517421,BUTTERFLY,INE295F01017
Beta Drugs Ltd,,BETA,INE351Y01019
STL Networks,544395,STLNETWORK,INE1VXE01018
HMA Agro Inds.,543929,HMAAGRO,INE0ECP01024
Salzer Electron.,517059,SALZERELEC,INE457F01013
Monte Carlo Fas.,538836,MONTECARLO,INE950M01013
PNGS Reva Diamo.,544718,PNGSREVA,INE1RDG01013
Sh.Pushkar Chem.,539334,SHREEPUSHK,INE712K01011
Andrew Yule & Co,526173,ANDREWYU,INE449C01025
Gulshan Polyols,532457,GULPOLY,INE255D01024
Nitta Gelatin,506532,NITTAGELA,INE265B01019
Nelcast,532864,NELCAST,INE189I01024
Spice LoungeFood,539895,,INE631E01024
Updater Services,543996,UDS,INE851I01011
TGV Sraac,507753,,INE284B01028
Laxmi Goldorna,,LGHL,INE258Y01016
Motisons Jewel,544053,MOTISONS,INE0FRK01020
Auto.Corp.of Goa,505036,,INE451C01013
ICE Make Refrig.,,ICEMAKE,INE520Y01019
IKIO Tech,543923,IKIO,INE0LOJ01019
GPT Healthcare,544131,GPTHEALTH,INE486R01017
Ind-Swift Labs.,532305,INDSWFTLAB,INE915B01019
Rupa & Co,533552,RUPA,INE895B01021
Quadrant Future,544336,QUADFUTURE,INE0LRY01011
IFGL Refractori.,540774,IFGLEXPOR,INE133Y01011
IRM Energy,544004,IRMENERGY,INE07U701015
Macfos,543787,,INE0OLH01013
Bharat Seats,523229,BHARATSE,INE415D01024
Macpower CNC,,MACPOWER,INE155Z01011
NINtec Systems,539843,NINSYS,INE395U01014
Jaro Institute,544534,JARO,INE00YJ01010
Axis Solution,511144,,INE520G01024
Aeroflex Enter.,511076,AEROENTER,INE065D01027
Le Merite Export,,LEMERITE,INE0G1L01017
Centrum Capital,501150,CENTRUM,INE660C01027
Gujarat Kidney,544666,GKSL,INE0V0W01025
Master Trust,511768,MASTERTR,INE677D01037
Laxmi Dental,544339,LAXMIDENTL,INE0WO601020
Raj Rayon Inds.,530699,RAJRILTD,INE533D01032
Rel. Indl. Infra,523445,RIIL,INE046A01015
Paushak,532742,PAUSHAKLTD,INE111F01024
Kody Technolab,,KODYTECH,INE0Q7P01013
Indl.& Prud.Inv.,501298,INDPRUD,INE620D01011
Balaji Telefilms,532382,BALAJITELE,INE794B01026
Tarsons Products,543399,TARSONS,INE144Z01023
Faze Three,530079,FAZE3Q,INE963C01033
SRM Contractors,544158,SRM,INE0R6Z01013
Bharat Global,521238,,INE893C01032
Rajputana Stain.,544731,RSL,INE313L01016
Quick Heal Tech,539678,QUICKHEAL,INE306L01010
Unitech,507878,UNITECH,INE694A01020
Mangalam World.,,MWL,INE0JYY01011
Renaiss. Global,532923,RGL,INE722H01024
Virtuoso Optoel.,543597,,INE0I0T01010
Vardhman Hold.,500439,VHL,INE701A01023
3B Blackbio,532067,3BBLACKBIO,INE994E01018
Amines & Plast.,506248,AMNPLST,INE275D01022
Roto Pumps,517500,ROTO,INE535D01037
Dam Capital Advi,544316,DAMCAPITAL,INE284H01025
String Metaverse,534535,,INE958L01034
Madras Fertilize,590134,MADRASFERT,INE414A01015
Kalind,526935,,INE377D01018
Arihant Super.,506194,ARIHANTSUP,INE643K01018
The Hi-Tech Gear,522073,HITECHGEAR,INE127B01011
Gala Precis. Eng,544244,GALAPREC,INE0RE001014
Sar Auto Prod.,538992,,INE002E01010
Alicon Cast.,531147,ALICON,INE062D01024
MIC Electronics,532850,MICEL,INE287C01037
Capital India,530879,CIFL,INE345H01024
Jindal Poly Inve,536773,JPOLYINVST,INE147P01019
Sh. Digvijay Cem,502180,SHREDIGCEM,INE232A01011
Borosil Scienti.,544184,BOROSCI,INE02L001032
Gandhi Spl. Tube,513108,GANDHITUBE,INE524B01027
Manaksia Coated,539046,MANAKCOAT,INE830Q01018
A.K.Capital Serv,530499,AKCAPIT,INE701G01012
Bluspring Enter.,544414,BLUSPRING,INE0U4101014
Excelsoft Tech.,544617,EXCELSOFT,INE606N01019
Remus Pharma.,,REMUS,INE0O5T01011
ADC India,523411,,INE833A01016
Suraj Estate,544054,SURAJEST,INE843S01025
Saraswati Commer,512020,ZSARACOM,INE967G01019
T N Newsprint,531426,TNPL,INE107A01015
AVT Natural Prod,519105,AVTNPL,INE488D01021
BirlaNu Ltd,509675,BIRLANU,INE557A01011
Fino Payments,543386,FINOPB,INE02NC01014
Jindal Photo,532624,JINDALPHOT,INE796G01012
Abans Financial,543712,AFSL,INE00ZE01026
SKM Egg Prod.,532143,SKMEGGPROD,INE411D01023
Bombay Super Hyb,544757,BSHSL,INE032Z01020
RRP Defense,530929,,INE535P01015
Accent Microcell,,ACCENTMIC,INE0Q5D01013
Oriental Aromat.,500078,OAL,INE959C01023
B-Right Real,543543,,INE0IZQ01016
Jyoti Resins,514448,,INE577D01013
Tejas Cargo,,TEJASCARGO,INE17WC01013
Arisinfra Solu.,544419,ARIS,INE0H9P01028
Oricon Enterpris,513121,ORICONENT,INE730A01022
GKW,,GKWLIMITED,INE528A01020
Magnus Steel,517320,,INE898E01011
Control Print,522295,CONTROLPR,INE663B01015
Emkay Tools,,ETL,INE0PXC01024
IZMO,532341,IZMO,INE848A01014
Crest Ventures,511413,CREST,INE559D01011
BCL Industries,524332,BCLIND,INE412G01024
Mamata Machinery,544318,MAMATA,INE0TO701015
Jaybharat Text,512233,,INE091E01039
Kapston Services,,KAPSTON,INE542Z01028
Western Carriers,544258,WCIL,INE0CJF01024
Rajoo Engineers,522257,RAJOOENG,INE535F01024
Manali Petrochem,500268,MANALIPETC,INE201A01024
Panorama Studios,539469,,INE258R01028
Asian Star Co.,531847,ASTAR,INE194D01017
Oriental Rail,531859,,INE457G01029
Bajaj Healthcare,539872,BAJAJHCARE,INE411U01027
Krishival Foods,544416,KRISHIVAL,INE0GGO01015
Saint-Gob. Sekur,515043,,INE068B01017
Avadh Sugar,540649,AVADHSUGAR,INE349W01017
Hariom Pipe,543517,HARIOMPIPE,INE00EV01017
Bhartiya Intl.,526666,BIL,INE828A01016
Zelio E-Mobility,544563,,INE1B3501014
Himatsing. Seide,514043,HIMATSEIDE,INE049A01027
Wealth First Por,544536,WEALTH,INE658T01017
OBSC Perfection,,OBSCP,INE0YHV01011
Century Enka,500280,CENTENKA,INE485A01015
Sunrakshakk Inds,539300,,INE671K01027
Uttam Sug.Mills,532729,UTTAMSUGAR,INE786F01031
Swelect Energy,532051,SWELECTES,INE409B01013
Unicommerce,544227,UNIECOM,INE00U401027
Vilas Transcore,,VILAS,INE0AZY01017
Finkurve Fin.,508954,FINKURVE,INE734I01027
Ester Industries,500136,ESTER,INE778B01029
Indo Rama Synth.,500207,INDORAMA,INE156A01020
Creative Newtech,544631,CNL,INE985W01018
Jay Bharat Maru.,520066,JAYBARMARU,INE571B01036
Sathlokhar Sys.,,SSEGL,INE0RFP01011
Dhampur Sugar,500119,DHAMPURSUG,INE041A01016
Hexa Tradex,534328,HEXATRADEX,INE750M01017
Viceroy Hotels,523796,VHLTD,INE048C01025
Systematix Corp.,526506,SYSTMTXC,INE356B01024
Nahar Spinning,500296,NAHARSPING,INE290A01027
Eimco Elecon(I),523708,EIMCOELECO,INE158B01016
India Power Corp,,DPSCLTD,INE360C01024
Prime Securities,500337,PRIMESECU,INE032B01021
OSEL Devices,,OSELDEVICE,INE0RMF01018
Indo Amines,524648,INDOAMIN,INE760F01028
Bhagyanagar Ind,512296,BHAGYANGR,INE458B01036
Mafatlal Inds.,500264,MAFATIND,INE270B01035
Gretex Corporate,543324,GCSL,INE199P01028
Stanley Lifesty.,544202,STANLEY,INE01A001028
S.A.L Steel,532604,SALSTEEL,INE658G01014
Health X Platform,533259,HEALTHX,INE019J01013
Suyog Telematics,537259,SUYOG,INE442P01014
Zuari Agro Chem.,534742,ZUARI,INE840M01016
Dharmaj Crop,543687,DHARMAJ,INE00OQ01016
Indo Borax & Ch.,524342,INDOBORAX,INE803D01021
Yuken India,522108,YUKEN,INE384C01016
PNGS Gargi FJ,543709,,INE0NT601018
Mac Charles(I),507836,MCCHRLS-B,INE435D01014
Royal Orch.Hotel,532699,ROHLTD,INE283H01019
Themis Medicare,530199,THEMISMED,INE083B01024
Eco Recyc.,530643,,INE316A01038
Electrotherm(I),526608,ELECTHERM,INE822G01016
Sejal Glass,532993,SEJALLTD,INE955I01044
Wanbury,524212,WANBURY,INE107F01022
Munjal Auto Inds,520059,MUNJALAU,INE672B01032
Cellecor Gadgets,,CELLECOR,INE0OMO01025
Sobhagya Mercant,512014,,INE754D01018
Lotus Chocolate,523475,,INE026D01011
NDTV,532529,NDTV,INE155G01029
Indef Manufactur,544364,BAJAJINDEF,INE0O9T01021
Tembo Global,,TEMBO,INE869Y01010
Veefin Solutions,543931,,INE0Q0M01015
Genesys Intl.,506109,GENESYS,INE727B01026
Prostarm Info,544410,PROSTARM,INE0BX301013
Yamuna Syndicate,540980,,INE868X01014
NIIT,500304,NIITLTD,INE161A01038
Ambika Cotton,531978,AMBIKCO,INE540G01014
TAC Infosec,,TAC,INE0SOY01013
T B Z,534369,TBZ,INE760L01018
Bodal Chemicals,524370,BODALCHEM,INE338D01028
Matrimony.com,540704,MATRIMONY,INE866R01028
Mangal Electrica,544492,MEIL,INE0PKD01011
Bharat Parenter.,541096,,INE365Y01019
Borana Weaves,544404,BORANA,INE16SF01016
JOJO,531910,,INE312M01016
Hindusthan Insulators &,539984,,INE799B01025
Sr.Rayala.Hypo,532842,SRHHYPOLTD,INE917H01012
Fermenta Biotec.,506414,FERMENTA,INE225B01021
TVS Elec.,532513,TVSELECT,INE236G01019
Sterling Tools,530759,STERTOOLS,INE334A01023
Kokuyo Camlin,523207,KOKUYOCMLN,INE760A01029
Z-Tech (India),,ZTECH,INE0ISZ01012
One Global Serv,514330,,INE670O01013
India Homes,513361,,INE072A01029
Vadilal Enterp.,519152,,INE693D01018
Bajaj Steel Inds,507944,BAJAJST,INE704G01024
Rama Steel Tubes,539309,RAMASTEEL,INE230R01035
Valiant Organics,540145,VALIANTORG,INE565V01010
Scoda Tubes,544411,SCODATUBES,INE090501011
Arih.Found.Hsg.,531381,ARIHANT,INE413D01011
Synergy Green,541929,SGIL,INE00QT01015
TAAL Tech,539956,TAALTECH,INE524T01011
Ganesh Green,,GGBL,INE0R8C01018
IFB Agro Inds.,507438,IFBAGRO,INE076C01018
Vivid Electromech,,VIVIDEL,INE24H301028
Sahasra Electro.,,SAHASRA,INE0RBQ01018
IIRM Holdings,526530,,INE670C01026
Om Infra,531092,OMINFRAL,INE239D01028
Menon Bearings,523828,MENONBE,INE071D01033
GRP,509152,GRPLTD,INE137I01015
A B Infrabuild,544281,ABINFRA,INE00YB01025
Deccan Cements,502137,DECCANCE,INE583C01021
GHCL Textiles,543918,GHCLTEXTIL,INE0PA801013
Gem Aromatics,544491,GEMAROMA,INE06XZ01023
Kopran,524280,KOPRAN,INE082A01010
Maan Aluminium,532906,MAANALU,INE215I01027
Cosmic CRF,543928,,INE0ORA01015
R M Drip & Sprin,544456,RMDRIP,INE219Y01026
IST,508807,,INE684B01029
Max India Ltd,543223,MAXIND,INE0CG601016
Krystal Integrat,544149,KRYSTAL,INE0QN801017
Dhunseri Vent.,523736,DVL,INE477B01010
T N Petro Prod.,500777,TNPETRO,INE148A01019
Shree Refrigerat,544458,,INE0FMZ01045
Regaal Resources,544485,REGAAL,INE0MHO01029
STEL Holdings,533316,STEL,INE577L01016
Eldeco Housing,523329,ELDEHSG,INE668G01021
Vascon Engineers,533156,VASCONEQ,INE893I01013
Advent Hotels,544446,ADVENTHTL,INE28GN01010
United Polyfab,544756,UNITEDPOLY,INE368U01029
Kellton Tech,519602,KELLTONTEC,INE164B01030
Karnika Industri,,KARNIKA,INE0MGA01012
GIC Housing Fin,511676,GICHSGFIN,INE289B01019
Gayatri Projects,532767,GAYAPROJ,INE336H01023
Anuh Pharma,506260,ANUHPHR,INE489G01022
Bright Outdoor,543831,,INE0OMI01019
BEML Land Assets,543898,BLAL,INE0N7W01012
Sarla Performanc,526885,SARLAPOLY,INE453D01025
Sudarshan Colorants,506390,SUDARCOLOR,INE492A01029
Fairchem Organic,543252,FAIRCHEMOR,INE0DNW01011
Viviana Power,,VIVIANA,INE0MEG01014
N R Agarwal Inds,516082,NRAIL,INE740D01017
Kabra Extrusion,524109,KABRAEXTRU,INE900B01029
Vision Infra,,VIESL,INE0TR001017
Dwarikesh Sugar,532610,DWARKESH,INE366A01041
Apis India,506166,,INE070K01014
Unified Data,544406,,INE1ABX01018
Supreme Infra.,532904,SUPREMEINF,INE550H01011
Innovana Think.,544302,INNOVANA,INE403Y01018
Bizotic Commer.,543926,,INE0OJ401014
Permanent Magnet,504132,,INE418E01018
Precot,,PRECOT,INE283A01014
Yogi Ltd,511702,,INE290E01011
Eraaya Lifespace,531035,,INE432F01032
Gaudium IVF,544709,GAUDIUMIVF,INE0P8B01020
Ecos (India),544239,ECOSMOBLTY,INE06HJ01020
Heranba Inds,543266,HERANBA,INE694N01015
Ganesh Consumer,544528,GANESHCP,INE652V01016
BIGBLOC Const.,540061,BIGBLOC,INE412U01025
Likhitha Infra.,543240,LIKHITHA,INE060901027
Prozone Realty,534675,PROZONER,INE195N01013
Sigachi Indust.,543389,SIGACHI,INE0D0K01022
Pudumjee Paper,539785,PDMJEPAPER,INE865T01018
Kothari Petroche,,KOTHARIPET,INE720A01015
JITF Infra Logis,540311,JITFINFRA,INE863T01013
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022
Manoj Vaibhav,543995,MVGJL,INE0KNT01012
Automotive Stamp,520119,ASAL,INE900C01027
NCL Industries,502168,NCLIND,INE732C01016
GTPL Hathway,540602,GTPL,INE869I01013
Arihant Capital,511605,ARIHANTCAP,INE420B01036
Sunshield Chem.,530845,,INE199E01014
